Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
344.000000 0.001383 0.007814 0.009133 0.009928 0.009533 0.001332 0.008681 0.009244 0.054461 0.010659 0.122168
345.000000 0.001017 0.009539 0.010975 0.011006 0.011416 0.001067 0.008791 0.010782 0.011783 0.009486 0.085862
346.000000 0.001478 0.010346 0.009699 0.010467 0.011927 0.001442 0.010028 0.010703 0.012099 0.009449 0.087638
347.000000 0.001542 0.012092 0.010505 0.009971 0.010219 0.001485 0.008400 0.010333 0.011619 0.009868 0.086034
348.000000 0.001431 0.007859 0.009723 0.010249 0.011328 0.001422 0.010643 0.010567 0.012368 0.009463 0.085053
349.000000 0.000000 0.000000 0.000000 0.000000 0.012314 0.001477 0.000000 0.000000 0.000000 0.009068 0.022859
350.000000 0.000000 0.069448 1.386231 0.000000 1.364201 0.002268 0.113527 1.465394 1.479227 0.017738 5.898034
351.000000 0.000000 0.136757 0.013829 0.080169 0.012589 0.001333 0.000000 0.014365 0.021929 0.007467 0.288438
352.000000 0.001541 0.000000 0.013856 0.012024 0.014600 0.001312 0.011596 0.014223 0.010179 0.013826 0.093157
353.000000 0.001138 0.009363 0.009637 0.012307 0.011100 0.001118 0.009204 0.264802 0.010409 0.010077 0.339155
354.000000 0.001001 0.010068 0.008890 0.008965 0.008992 0.001286 0.007799 0.009766 0.010437 0.007077 0.074281
355.000000 0.001133 0.010040 0.031142 0.010545 0.011010 0.001353 0.015218 0.011206 0.011630 0.008144 0.111421
356.000000 0.001080 0.021329 0.010669 0.036051 0.010823 0.001434 0.008609 0.010005 0.010382 0.007663 0.118045
357.000000 0.001324 0.008523 0.008658 0.009361 0.011127 0.001365 0.009291 0.057176 0.011587 0.005625 0.124037
358.000000 0.001366 0.008960 0.009615 0.010081 0.051322 0.001272 0.008868 0.010801 0.063879 0.005741 0.171905
359.000000 0.001346 0.008669 0.009033 0.009507 0.010595 0.001292 0.008652 0.011137 0.010831 0.006930 0.077992
360.000000 0.001346 0.008327 0.009964 0.009513 0.010012 0.001171 0.008673 0.009835 0.010477 0.006703 0.076021
361.000000 0.001417 0.009112 0.009717 0.009629 0.010409 0.001132 0.008929 0.010544 0.009287 0.005713 0.075889
362.000000 0.001409 0.009138 0.009850 0.009814 0.010558 0.001185 0.007848 0.010687 0.010321 0.005420 0.076230
363.000000 0.001209 0.009086 0.009478 0.010320 0.008956 0.001171 0.007799 0.008665 0.009961 0.006083 0.072728
364.000000 0.001365 0.007632 0.010173 0.011620 0.011890 0.001323 0.007000 0.010992 0.010086 0.006015 0.078096
365.000000 0.000000 0.065785 0.009457 0.000000 0.000000 0.000000 0.014356 0.000000 0.000000 0.000000 0.089598
366.000000 0.002240 0.016906 0.023814 0.020245 0.043302 0.002132 0.015660 0.043771 0.271049 0.016576 0.455695
367.000000 0.000995 0.007538 0.007351 0.009030 0.013421 0.002379 0.014098 0.016964 0.013596 0.009290 0.094662
368.000000 0.001527 1.050815 0.011651 0.015671 0.011744 0.001761 0.012617 0.015416 0.012587 0.019898 1.153687
369.000000 0.001327 0.009731 0.012760 0.012068 0.011333 0.001077 0.008813 0.010240 0.010426 0.010224 0.087999
370.000000 0.001559 0.009180 0.010389 0.011573 0.009468 0.001151 0.010164 0.009305 0.010115 0.009090 0.081994
371.000000 0.001397 0.010356 0.007250 0.013725 0.011901 0.001153 0.006866 0.011180 0.008383 0.007756 0.079967
372.000000 0.001608 0.011026 0.009996 0.012655 0.013776 0.001440 0.007430 0.010818 0.009482 0.008792 0.087023
373.000000 0.001400 0.012141 0.007829 0.013618 0.011517 0.001284 0.007886 0.010696 0.008192 0.006953 0.081516
374.000000 0.001452 0.009546 0.007767 0.011364 0.011093 0.001201 0.007497 0.010199 0.008196 0.005193 0.073508
375.000000 0.001375 0.010647 0.008742 0.010160 0.042917 0.001240 0.007757 0.027743 0.036045 0.007426 0.154052
376.000000 0.001315 0.011082 0.007941 0.013385 0.012318 0.001139 0.007657 0.010260 0.008195 0.006059 0.079351
377.000000 0.001210 0.009920 0.007473 0.011989 0.012337 0.001256 0.005770 0.012185 0.009000 0.006725 0.077865
378.000000 0.001015 0.010346 0.008824 0.011065 0.011550 0.001316 0.004936 0.010089 0.009805 0.006072 0.075018
379.000000 0.000956 0.010721 0.009128 0.011204 0.010629 0.001323 0.006176 0.009833 0.009971 0.006679 0.076620
380.000000 0.000972 0.009680 0.010269 0.010423 0.011885 0.001332 0.006500 0.009252 0.008046 0.007438 0.075797
381.000000 0.001426 0.014947 0.009266 0.016665 0.017555 0.001478 0.008836 0.011525 0.011417 0.008647 0.101762
382.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
383.000000 0.002263 1.512122 0.024218 0.017835 0.017773 0.001980 0.015742 0.017493 0.016500 0.000000 1.625926
384.000000 0.000979 0.012399 0.000000 0.000000 0.197030 0.001083 0.000000 0.018306 0.006210 0.021320 0.257327
385.000000 0.000000 0.029357 0.021755 0.000000 0.011633 0.001220 0.015313 0.012215 0.016458 0.000000 0.107951
386.000000 0.001162 0.022933 0.010345 0.018774 0.014839 0.001942 0.010643 0.011095 0.010370 0.017858 0.119961
387.000000 0.001163 0.009014 0.008903 0.009336 0.011186 0.001259 0.011181 0.010186 0.010653 0.008846 0.081727
388.000000 0.001135 0.033414 0.009542 0.011521 0.010417 0.001536 0.009542 0.008561 0.009177 0.008893 0.103738
389.000000 0.001304 0.008016 0.012685 0.047473 0.010910 0.001408 0.011694 0.009283 0.011018 0.010657 0.124448
390.000000 0.001285 0.008839 0.009813 0.009438 0.011806 0.001443 0.010419 0.007966 0.009233 0.008925 0.079167
391.000000 0.001273 0.008703 0.010428 0.009976 0.011021 0.001415 0.009395 0.017144 0.009293 0.009439 0.088087
392.000000 0.001334 0.007678 0.010139 0.014857 0.044919 0.001324 0.010304 0.009324 0.008246 0.009346 0.117471
393.000000 0.001111 0.008403 0.009334 0.010726 0.009890 0.001235 0.011009 0.008847 0.022453 0.009314 0.092322
394.000000 0.001128 0.007938 0.009266 0.009168 0.009740 0.001027 0.009812 0.008235 0.008281 0.009335 0.073930
395.000000 0.001278 0.008788 0.010623 0.008614 0.009945 0.000936 0.009983 0.009234 0.009658 0.009860 0.078919
396.000000 0.001378 0.008833 0.007848 0.011000 0.011244 0.000850 0.010117 0.010014 0.008665 0.009632 0.079581
397.000000 0.001376 0.008947 0.010588 0.009987 0.009839 0.001385 0.008878 0.008947 0.009123 0.008503 0.077573
398.000000 0.001219 0.009123 0.012367 0.011171 0.010391 0.001228 0.012529 0.009032 0.009821 0.007940 0.084821
399.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
400.000000 0.001932 1.378615 0.206765 0.722584 0.018897 0.002196 1.386984 0.055037 0.015424 0.045647 3.834081
401.000000 0.001002 0.011653 0.015095 0.018067 0.027387 0.001407 0.000000 0.015646 0.000000 0.012745 0.103002
402.000000 0.001144 0.386191 0.011755 0.088891 0.006836 0.009902 0.018673 0.009085 0.014745 0.039141 0.586363
403.000000 0.001900 0.008762 0.015019 0.010640 0.016042 0.000994 0.011130 0.012167 0.009842 0.010546 0.097042
